"","Package","LibPath","Version","Priority","Built"
"99","lubridate","C:/R/Library","1.7.1",NA,"3.4.2"
"100","magic","C:/R/Library","1.5-8",NA,"3.4.3"
"101","magrittr","C:/R/Library","1.5",NA,"3.4.0"
"102","mailR","C:/R/Library","0.4.1",NA,"3.4.0"
"103","maps","C:/R/Library","3.2.0",NA,"3.4.3"
"104","markdown","C:/R/Library","0.8",NA,"3.4.0"
"105","matrixcalc","C:/R/Library","1.0-3",NA,"3.4.0"
"106","MatrixModels","C:/R/Library","0.4-1",NA,"3.4.0"
"107","memoise","C:/R/Library","1.1.0",NA,"3.4.3"
"108","mi","C:/R/Library","1.0",NA,"3.4.0"
"109","microbenchmark","C:/R/Library","1.4-4",NA,"3.4.3"
"110","mime","C:/R/Library","0.5",NA,"3.4.0"
"111","minqa","C:/R/Library","1.2.4",NA,"3.4.0"
"112","misc3d","C:/R/Library","0.8-4",NA,"3.4.1"
"113","mnormt","C:/R/Library","1.5-5",NA,"3.4.1"
"114","modelr","C:/R/Library","0.1.1",NA,"3.4.2"
"115","multcomp","C:/R/Library","1.4-8",NA,"3.4.2"
"116","munsell","C:/R/Library","0.4.3",NA,"3.4.0"
"117","mvtnorm","C:/R/Library","1.0-7",NA,"3.4.3"
"118","nloptr","C:/R/Library","1.0.4",NA,"3.4.0"
"119","NMF","C:/R/Library","0.20.6",NA,"3.4.0"
"120","nortest","C:/R/Library","1.0-4",NA,"3.4.0"
"121","numbers","C:/R/Library","0.6-6",NA,"3.4.0"
"122","nycflights13","C:/R/Library","0.2.2",NA,"3.4.3"
"123","officer","C:/R/Library","0.2.1",NA,"3.4.3"
"124","openssl","C:/R/Library","0.9.9",NA,"3.4.2"
"125","packrat","C:/R/Library","0.4.8-1",NA,"3.4.0"
"126","pbkrtest","C:/R/Library","0.4-7",NA,"3.4.0"
"127","pillar","C:/R/Library","1.1.0",NA,"3.4.3"
"128","pkgconfig","C:/R/Library","2.0.1",NA,"3.4.0"
"129","pkgmaker","C:/R/Library","0.22",NA,"3.4.0"
